expert_id,full_name,display_name,name_variants,pubmed_author_query,orcid,designation,institution,department,research_areas,domains,profile_url,source,date_added,last_verified,active,notes
pablo-bifani,Pablo Bifani,Professor Pablo Bifani,Pablo B|Bifani P,,,Professor,Nanyang Technological University,,Applied Phage Biology|Antimicrobial Resistance|Drug Discovery|Malaria|Tuberculosis,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
paul-macary,Paul Macary,Associate Professor Paul Macary,Paul M|Macary P,,,Associate Professor,National University of Singapore,,Immunology|Protein Engineering,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
paul-tambyah,Paul Tambyah,Professor Paul Tambyah,Paul T|Tambyah P,,,Professor,National University of Singapore,,Emerging Infectious Diseases|Urinary Tract Infection,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
peter-j-bond,Peter J. Bond,Adjunct Associate Professor Peter J. Bond,Peter JB|Bond PJ|Peter J|Bond P,,,Adjunct Associate Professor,"Agency for Science, Technology and Research",,Pathogenesis|Structural Virology|Computational Biology|Modelling,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
ray-lin-junhao,Ray Lin Junhao,Dr Ray Lin Junhao,Ray LJ|Junhao RL|Ray L|Junhao R,,,Dr,Woodlands Health,,Antimicrobial Stewardship|Antimicrobial Resistance|Infection Prevention and Control,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
roy-chan-kum-wah,Roy Chan Kum Wah,Clinical Professor Roy Chan Kum Wah,Roy CKW|Wah RCK|Roy C|Wah R,,,Clinical Professor,National Skin Centre,,HIV|Sexually Transmitted Infections,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
sanjay-haresh-chotirmall,Sanjay Haresh Chotirmall,Associate Professor Sanjay Haresh Chotirmall,Sanjay HC|Chotirmall SH|Sanjay H|Chotirmall S,,,Associate Professor,Nanyang Technological University,,Microbiology|Respiratory Tract Infections|Next Generation Sequencing,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
sapna-pradip-sadarangani,Sapna Pradip Sadarangani,Assistant Professor Sapna Pradip Sadarangani,Sapna PS|Sadarangani SP|Sapna P|Sadarangani S,,,Assistant Professor,Tan Tock Seng Hospital,,Population and Global Health|Emerging Infectious Diseases|Vaccinology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
satoru-watanabe,Satoru Watanabe,Assistant Professor Satoru Watanabe,Satoru W|Watanabe S,,,Assistant Professor,Duke-NUS Medical School,,Animal Model Development|Vector Borne RNA Viruses,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
sebastian-maurer-stroh,Sebastian Maurer-Stroh,Adjunct Professor Sebastian Maurer-Stroh,Sebastian M|Maurer-Stroh S,,,Adjunct Professor,"Agency for Science, Technology and Research",,Bioinformatics|Computational Biology|Proteomics,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
shawn-vasoo,Shawn Vasoo,Adjunct Associate Professor Shawn Vasoo,Shawn V|Vasoo S,,,Adjunct Associate Professor,Tan Tock Seng Hospital,,Antimicrobial Resistance|Diagnostic Microbiology|Outbreak Preparedness,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
sheemei-lok,Sheemei Lok,Professor Sheemei Lok,Sheemei L|Lok S,,,Professor,Duke-NUS Medical School,,Structural Virology|Vector Borne RNA Viruses,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
shirin-kalimuddin,Shirin Kalimuddin,Assistant Professor Shirin Kalimuddin,Shirin K|Kalimuddin S,,,Assistant Professor,Singapore General Hospital,,Antiviral Immunity|Vaccines,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
sng-li-hwei,Sng Li Hwei,Associate Professor Sng Li Hwei,Sng LH|Hwei SL|Sng L|Hwei S,,,Associate Professor,Singapore General Hospital,,Antimicrobial Resistance|Bacteriology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
somani-jyoti,Somani Jyoti,Assistant Professor Somani Jyoti,Somani J|Jyoti S,,,Assistant Professor,National University Hospital,,Antimicrobial Resistance|Epidemiology|Infection Prevention and Control|Transplant Infectious Diseases|COVID-19,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
sophia-archuleta,Sophia Archuleta,Associate Professor Sophia Archuleta,Sophia A|Archuleta S,,,Associate Professor,National University Hospital,,Bacteriology|Dengue|HIV|Sexually Transmitted Infections,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
stefan-oehlers,Stefan Oehlers,Dr Stefan Oehlers,Stefan O|Oehlers S,,,Dr,"Agency for Science, Technology and Research",,Bacteriology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
subhash-vasudevan,Subhash Vasudevan,Professor Subhash Vasudevan,Subhash V|Vasudevan S,,,Professor,Duke-NUS Medical School,,Dengue|Vector Borne RNA Viruses|Virology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
surinder-pada,Surinder Pada,Adjunct Assistant Professor Surinder Pada,Surinder P|Pada S,,,Adjunct Assistant Professor,Ng Teng Fong General Hospital,,Emerging Infectious Diseases|Multidrug-Resistant Organisms,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
swapnil-mishra,Swapnil Mishra,Assistant Professor Swapnil Mishra,Swapnil M|Mishra S,,,Assistant Professor,National University of Singapore,,Infectious Disease Modelling,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
sylvie-alonso,Sylvie Alonso,Associate Professor Sylvie Alonso,Sylvie A|Alonso S,,,Associate Professor,National University of Singapore,,RNA Virology|Infectious Diseases|Therapeutics and Vaccinology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
tan-ai-ling,Tan Ai Ling,Associate Professor Tan Ai Ling,Tan AL|Ling TA|Tan A|Ling T,,,Associate Professor,Singapore General Hospital,,Bacteriology|Mycology|Microbiology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
tan-ban-hock,Tan Ban Hock,Professor Tan Ban Hock,Tan BH|Hock TB|Tan B|Hock T,,,Professor,Singapore General Hospital,,Infections in Immunocompromised Hosts,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
tan-boon-huan,Tan Boon Huan,Dr Tan Boon Huan,Tan BH|Huan TB|Tan B|Huan T,,,Dr,Communicable Diseases Agency,,Detection and Characterisation of Emerging Viruses|Antiviral Strategies|Vaccine Development,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
tan-kay-jin-rayner,Tan Kay Jin Rayner,Assistant Professor Tan Kay Jin Rayner,Tan KJR|Rayner TKJ|Tan K|Rayner T,,,Assistant Professor,National University of Singapore,,HIV|Sexually Transmitted Infections|Implementation Science|Citizen Science|Community-Based Participatory Research|Qualitative Research,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
tan-seow-yen,Tan Seow Yen,Dr Tan Seow Yen,Tan SY|Yen TS|Tan S|Yen T,,,Dr,Changi General Hospital,,Healthcare Associated Infections,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
tan-thean-yen,Tan Thean Yen,Clinical Associate Professor Tan Thean Yen,Tan TY|Yen TT|Tan T|Yen T,,,Clinical Associate Professor,Changi General Hospital,,Clinical Microbiology|Antimicrobial Resistance|Infection Prevention and Control|Laboratory Medicine,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
tan-thuan-tong,Tan Thuan Tong,Clinical Professor Tan Thuan Tong,Tan TT|Tong TT|Tan T|Tong T,,,Clinical Professor,Singapore General Hospital,,Antimicrobial Resistance|Bacteriology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
tan-yee-joo,Tan Yee Joo,Associate Professor Tan Yee Joo,Tan YJ|Joo TY|Tan Y|Joo T,,,Associate Professor,National University of Singapore,,Emerging Infectious Diseases|Hepatitis,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
tan-yen-ee,Tan Yen Ee,Dr Tan Yen Ee,Tan YE|Ee TY|Tan Y|Ee T,,,Dr,Singapore General Hospital,,Antimicrobial Resistance|Bacteriology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
teh-yii-ean,Teh Yii Ean,Clinical Assistant Professor Teh Yii Ean,Teh YE|Ean TY|Teh Y|Ean T,,,Clinical Assistant Professor,Singapore General Hospital,,Clinical Infectious Diseases,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
teo-teck-hui,Teo Teck Hui,Dr Teo Teck Hui,Teo TH|Hui TT|Teo T|Hui T,,,Dr,"Agency for Science, Technology and Research",,AMR Gram-negative Bacteria|Immunology|Microbiology|In vivo Mucosal Infection Modelling,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
thoon-koh-cheng,Thoon Koh Cheng,Clinical Professor Thoon Koh Cheng,Thoon KC|Cheng TK|Thoon K|Cheng T,,,Clinical Professor,KK Women's and Children's Hospital,,Paediatric Infectious Diseases|Vaccinology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
timothy-mark-sebastian-barkham,Timothy Mark Sebastian Barkham,Adjunct Associate Professor Timothy Mark Sebastian Barkham,Timothy MSB|Barkham TMS|Timothy M|Barkham T,,,Adjunct Associate Professor,Tan Tock Seng Hospital,,Dengue|GBS|GAS|Influenza|SARS/SARS-CoV-2|Tuberculosis|Diagnostics Development|One Health,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
vernon-lee,Vernon Lee,Professor Vernon Lee,Vernon L|Lee V,,,Professor,Communicable Diseases Agency,,Health Policy|Pandemic Preparedness|Respiratory Tract Infections,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
vincent-tk-chow,Vincent TK Chow,Associate Professor Vincent TK Chow,Vincent TC|Chow VT|Vincent T|Chow V,,,Associate Professor,National University of Singapore,,Genomics|Microbiology|Virology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
wan-wei-yee,Wan Wei Yee,Dr Wan Wei Yee,Wan WY|Yee WW|Wan W|Yee W,,,Dr,Singapore General Hospital,,Infectious Diseases|Viral Diagnostics and Epidemiology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
wang-linfa,Wang Linfa,Professor Wang Linfa,Wang L|Linfa W,,,Professor,Duke-NUS Medical School,,Emerging Zoonotic Infectious Diseases|Immunology|Molecular Epidemiology|Respiratory Tract Infections|Virology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
wang-yi,Wang Yi,Assistant Professor Wang Yi,Wang Y|Yi W,,,Assistant Professor,National University of Singapore,,Health Economics|Early Health Technology Assessment|Health Technology Assessment|Health Innovation Development,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
wang-yue,Wang Yue,Professor Wang Yue,Wang Y|Yue W,,,Professor,"Agency for Science, Technology and Research",,Fungal Infections|Pathogenesis,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
weng-ruifen,Weng Ruifen,Dr Weng Ruifen,Weng R|Ruifen W,,,Dr,"Agency for Science, Technology and Research",,Detection and Diagnostics|Diagnostics and Therapeutics|Pandemic Preparedness|Population and Global Health,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
wong-chen-seong,Wong Chen Seong,Adjunct Assistant Professor Wong Chen Seong,Wong CS|Seong WC|Wong C|Seong W,,,Adjunct Assistant Professor,Communicable Diseases Agency,,Internal Medicine|Clinical Infectious Diseases|HIV|Sexually Transmitted Infections|Implementation Science,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
wong-hei-man,Wong Hei Man,Dr Wong Hei Man,Wong HM|Man WH|Wong H|Man W,,,Dr,Singapore General Hospital,,Clinical Infectious Diseases|Infection Prevention and Control,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
yann-felix-boucher,Yann Felix Boucher,Associate Professor Yann Felix Boucher,Yann FB|Boucher YF|Yann F|Boucher Y,,,Associate Professor,National University of Singapore,,Microbiology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
yung-chee-fu,Yung Chee Fu,Clinical Associate Professor Yung Chee Fu,Yung CF|Fu YC|Yung C|Fu Y,,,Clinical Associate Professor,KK Women's and Children's Hospital,,Epidemiology|Outbreak Preparedness and Response|Vaccinology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
yvonne-su-chuan-fang,Yvonne Su Chuan Fang,Associate Professor Yvonne Su Chuan Fang,Yvonne SCF|Fang YSC|Yvonne S|Fang Y,,,Associate Professor,Duke-NUS Medical School,,Viral Phylodynamics|Molecular Epidemiology|Metagenomics,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
zheng-shuwei,Zheng Shuwei,Dr Zheng Shuwei,Zheng S|Shuwei Z,,,Dr,Sengkang General Hospital,,Methicillin-Resistant Staphylococcus Aureus|Gram-negative Infections,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
